"id","spouse_id","couple_id","idwife","idhusband","sex","foodSecurity","foodSourceNow","WEALTH_TOTAL_VAL","total_income","labor_migrant_hh_total","familyBariEducationAfter","MacArthurLadderPresent","listenRadio","useInternet","marketIntegrationPrimarySchoolTime","marketIntegrationHighSchoolTime","marketIntegrationCollegeTime","marketIntegrationSmallBazaarTime","marketIntegrationLargeBazaarTime","marketIntegrationTownTime","marketIntegrationMainRoadTime","marketIntegrationDhakaTime","marketIntegrationPharmacyTime","marketIntegrationMBBSTime","labor_migrant_bari_in_bangladesh","years_of_education_wife","husband_occupation","years_of_education_husband","relocate_MI","institutionloan_vs_other","bank_vs_micro","husbandTravelINBangladesh","wifeTravelINBangladesh","wifeAbroadTravel","husbandAbroadTravel","listenRadio_h","useInternet_h","watchTV_mins_per_month_h","bank_vs_micro_h","institutionloan_vs_other_h","occupation_agriculture_dummy","occupation_mkt_connection","occupation_ses","age_wife","age_h","assetComputer","assetSmartphone","landOwnedFarmAmount","assetElectricity"
"2A25983B-0BE8-A444-86F9-B9FF5D9C1CD0","F5CD750A-ABD3-5141-8A47-5432CA3988BE",714,"F5CD750A-ABD3-5141-8A47-5432CA3988BE","2A25983B-0BE8-A444-86F9-B9FF5D9C1CD0",1,6,100,246825,60000,1,1,6,0,0,2.09677419354839,1.95652173913043,2.60869565217391,10,3.87096774193548,5.80645161290323,4.56521739130435,3.96694214876033,5.80645161290323,18.5483870967742,19,10,9,6,1,0,0,6,6,0,8,0,0,1800,0,1,1,2,2,51,51,0,0,0,1
"2AF1A838-7F8D-3C49-A5AE-ADFF6964DC08","B31C6C94-8E47-E849-9806-1F935D35A3F8",444,"2AF1A838-7F8D-3C49-A5AE-ADFF6964DC08","B31C6C94-8E47-E849-9806-1F935D35A3F8",0,6,100,518125,27000,1,2,5,0,3,10.8333333333333,4.28571428571429,5.71428571428571,10,5.71428571428571,5.80645161290323,35,2.65193370165746,30,27.3809523809524,29,10,0,12,0,0,0,6,4,0,8,0,1,3600,0,0,1,0,0,32,39,0,1,0,1
"2B32C751-B571-B04F-9AD8-4645277169F4","3A78E040-5F71-4746-8B06-C321B9594662",91,"2B32C751-B571-B04F-9AD8-4645277169F4","3A78E040-5F71-4746-8B06-C321B9594662",0,6,100,202925,0,0,1,3,0,0,10.8333333333333,4.28571428571429,5.71428571428571,3.75,7.5,5.80645161290323,70,2.65193370165746,11.25,35.9375,3,7,9,8,1,0,0,4,4,0,0,0,0,900,0,0,1,2,2,33,48,0,0,0,1
"2B5F16FC-5791-2A4F-8B5E-3FFB14D005FA","ADAA83B6-CEFC-274B-90FC-F2BFA40DCD25",420,"2B5F16FC-5791-2A4F-8B5E-3FFB14D005FA","ADAA83B6-CEFC-274B-90FC-F2BFA40DCD25",0,6,25,505425,42083.33333,2,1,5,0,0,4.0625,1.47540983606557,1.9672131147541,10,2.92682926829268,4.39024390243902,1.73553719008264,1.99170124481328,8.57142857142857,14.0243902439024,6,0,1,0,1,1,0,3,1,0,0,0,0,900,0,0,0,0,1,51,56,0,0,21.28,1
"2B6EAE86-5927-524D-8978-54AE2E337DFF","DA4AA128-A8FF-244A-A049-763A0535DF47",603,"2B6EAE86-5927-524D-8978-54AE2E337DFF","DA4AA128-A8FF-244A-A049-763A0535DF47",0,6,100,305500,24000,6,1,5,0,1,5.90909090909091,4.28571428571429,5.71428571428571,5.45454545454545,10.9090909090909,5.80645161290323,70,1.99170124481328,30,95.8333333333333,0,7,0,10,0,1,1,4,3,0,1,0,2,900,0,1,1,0,0,56,63,0,1,0,1
"2BB50B79-85AE-A741-804E-97B6171A59BE","C6944851-7AB9-C247-9EB9-99D41ACC9D79",532,"2BB50B79-85AE-A741-804E-97B6171A59BE","C6944851-7AB9-C247-9EB9-99D41ACC9D79",0,6,50,432125,211916.6667,3,2,4,0,0,3.0952380952381,2.19512195121951,2.92682926829268,2.85714285714286,2.92682926829268,2.53521126760563,10,2.65193370165746,22.5,14.0243902439024,20,5,1,5,0,0,0,8,6,0,0,0,0,1050,0,0,0,0,1,50,62,0,1,130,1
"2BF0545B-019A-DC49-AA2E-908EC44A177A","4D171298-D775-9045-91AC-65C1BC6DE58A",135,"2BF0545B-019A-DC49-AA2E-908EC44A177A","4D171298-D775-9045-91AC-65C1BC6DE58A",0,6,100,410105,13000,0,2,5,0,2,21.6666666666667,15,20,20,15,6.92307692307692,4.11764705882353,2.27488151658768,16.3636363636364,52.2727272727273,5,12,10,14,0,0,0,6,9,0,0,0,0,1800,0,0,1,3,3,48,60,1,1,0,1
"2C6F2A94-8E91-C142-8D5D-49204E71F705","0",57,"2C6F2A94-8E91-C142-8D5D-49204E71F705",NA,0,6,75,739130,52166.66667,2,2,10,0,0,5.90909090909091,2.90322580645161,3.87096774193548,2.85714285714286,3.87096774193548,5.80645161290323,10,2.65193370165746,16.3636363636364,18.5483870967742,9,8,1,9,0,1,0,3,3,0,0,NA,NA,NA,NA,NA,0,0,1,63,NA,0,0,54,1
"2C83D79C-67D8-E941-9ADE-5FC0CAA17C02","C382EAB0-C353-E34E-8DC7-5EEEAA4E7E07",525,"2C83D79C-67D8-E941-9ADE-5FC0CAA17C02","C382EAB0-C353-E34E-8DC7-5EEEAA4E7E07",0,6,25,281950,38161.08333,9,2,6,0,0,10.8333333333333,15,20,20,1.9672131147541,4.39024390243902,6.7741935483871,2.65193370165746,30,18.5483870967742,18,9,11,10,0,0,0,6,2,0,0,0,0,2700,0,0,1,0,1,57,65,1,1,170,1
"2C9161D6-39C4-574F-BF34-AC2179E73EF3","B3BD68BA-D445-AF43-B6A3-6127B81792DF",446,"2C9161D6-39C4-574F-BF34-AC2179E73EF3","B3BD68BA-D445-AF43-B6A3-6127B81792DF",0,6,100,126965,36000,6,0,4,0,0,5.90909090909091,5.625,7.5,2.85714285714286,5.71428571428571,16.3636363636364,52.5,15.4838709677419,16.3636363636364,27.3809523809524,28,1,0,2,0,0,0,4,4,0,0,0,0,300,0,0,1,0,0,58,63,0,0,0,0
"2C94506B-2808-3D4F-A8D1-A92616B39808","CE159768-97B8-884C-BCA4-D3031A4752F4",563,"2C94506B-2808-3D4F-A8D1-A92616B39808","CE159768-97B8-884C-BCA4-D3031A4752F4",0,6,100,152875,20083.33333,2,2,6,0,0,3.0952380952381,2.5,3.33333333333333,5.45454545454545,3.87096774193548,5.80645161290323,6.7741935483871,1.59468438538206,16.3636363636364,18.5483870967742,5,0,0,0,0,0,0,1,1,0,0,0,0,900,0,1,1,0,0,66,71,0,1,108,1
"2CAFCDBA-4331-2140-B198-60FA4296FCF7","DCF8C3E7-7BDA-7A45-BDD0-E8660C1FF75E",613,"2CAFCDBA-4331-2140-B198-60FA4296FCF7","DCF8C3E7-7BDA-7A45-BDD0-E8660C1FF75E",0,6,75,191340,58750,8,0,3,0,0,3.0952380952381,2.90322580645161,3.87096774193548,5.45454545454545,3.87096774193548,5.80645161290323,6.7741935483871,1.99170124481328,5.80645161290323,18.5483870967742,13,0,3,7,0,0,0,4,4,0,0,0,0,900,0,0,1,1,0,62,65,0,0,0,1
"2D1C0A35-46A7-3E44-B7EC-DF54E20839ED","4E5490AE-A6F6-1F4C-9649-AB0F3A8773F4",139,"4E5490AE-A6F6-1F4C-9649-AB0F3A8773F4","2D1C0A35-46A7-3E44-B7EC-DF54E20839ED",1,6,100,117050,30000,0,0,4,0,0,4.0625,2.90322580645161,3.87096774193548,5.45454545454545,3.87096774193548,5.80645161290323,5.1219512195122,2.65193370165746,16.3636363636364,18.5483870967742,52,10,9,6,1,0,0,7,6,0,0,0,0,150,0,0,1,2,2,44,44,0,0,0,1
"2D267D92-2CCE-274D-8B45-15E729AFF9B5","0",59,"2D267D92-2CCE-274D-8B45-15E729AFF9B5",NA,0,6,100,291900,55000,4,1,6,0,4,21.6666666666667,2.90322580645161,3.87096774193548,1.93548387096774,3.87096774193548,5.80645161290323,35,2.65193370165746,8.57142857142857,18.5483870967742,1,2,4,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,1,1,0,64,NA,0,1,0,1
"2D3D974C-0241-5143-892D-16B3F9F43122","B5ECFE69-BB36-BE40-9E21-8AE7D1E48F57",455,"B5ECFE69-BB36-BE40-9E21-8AE7D1E48F57","2D3D974C-0241-5143-892D-16B3F9F43122",1,5,100,393950,61500,2,2,9,0,2,3.0952380952381,2.19512195121951,2.92682926829268,2.85714285714286,2.35294117647059,3.52941176470588,5.1219512195122,1.99170124481328,8.57142857142857,14.0243902439024,0,0,1,8,0,0,0,3,3,0,0,0,2,0,0,0,0,0,1,65,65,0,0,44,0
"2D77BE25-6952-8748-BDA3-BF613527A046","8F75043F-7393-7E4D-BD64-D97CC21B6778",329,"8F75043F-7393-7E4D-BD64-D97CC21B6778","2D77BE25-6952-8748-BDA3-BF613527A046",1,4,100,73895,0,0,0,1,0,0,4.0625,4.28571428571429,5.71428571428571,5.45454545454545,5.71428571428571,4.39024390243902,35,1.59468438538206,8.57142857142857,18.5483870967742,8,5,1,0,1,0,0,3,4,0,0,0,0,1200,0,1,0,0,1,36,36,0,0,0,1
"2D903A55-C33A-3444-8F9C-918430DC1004","0",60,"2D903A55-C33A-3444-8F9C-918430DC1004",NA,0,6,0,147545,6000,1,2,10,0,0,5.90909090909091,2.90322580645161,3.87096774193548,15,5.71428571428571,8.57142857142857,13.125,3.96694214876033,30,27.3809523809524,6,5,23,6,0,1,0,2,2,0,1,NA,NA,NA,NA,NA,1,1,0,35,NA,0,0,0,1
"2DF71B65-A044-C942-B848-E640338F8EEF","4EC74293-A84A-7C4F-8A2D-A3C9D16D5ED2",140,"2DF71B65-A044-C942-B848-E640338F8EEF","4EC74293-A84A-7C4F-8A2D-A3C9D16D5ED2",0,6,100,63990,12000,2,1,4,0,3,5.90909090909091,3.46153846153846,4.61538461538461,20,4.61538461538461,6.92307692307692,13.125,2.65193370165746,11.25,18.5483870967742,10,9,10,12,1,0,0,10,3,0,0,0,0,420,0,0,1,3,3,32,39,0,0,0,1
"2E11B08E-5BF2-5848-AB76-3A748724F806","D82177E2-13AC-5343-8186-00E6277A60C4",595,"D82177E2-13AC-5343-8186-00E6277A60C4","2E11B08E-5BF2-5848-AB76-3A748724F806",1,6,75,309975,5000,1,2,5,0,2,5.90909090909091,1.76470588235294,2.35294117647059,5.45454545454545,2.35294117647059,3.52941176470588,10,1.99170124481328,16.3636363636364,14.0243902439024,1,0,1,5,0,1,0,3,3,0,2,0,2,1050,1,1,0,0,1,39,39,0,1,0,1
"2E6E9595-9DF0-D045-B955-608AEE70FBE0","8C3DC676-D0BE-374E-8B89-FF94C5ACB9E6",315,"8C3DC676-D0BE-374E-8B89-FF94C5ACB9E6","2E6E9595-9DF0-D045-B955-608AEE70FBE0",1,6,100,249850,10000,2,0,5,0,2,10.8333333333333,8.18181818181818,10.9090909090909,5.45454545454545,10.9090909090909,3.91304347826087,13.125,2.65193370165746,16.3636363636364,52.2727272727273,0,9,9,10,1,0,0,6,3,0,0,0,2,1800,0,0,1,2,2,42,42,0,1,0,1
"2EA157DF-F67C-794D-BEFF-733C9ABC02B4","3BB321FD-7740-AF47-878A-916341305743",96,"3BB321FD-7740-AF47-878A-916341305743","2EA157DF-F67C-794D-BEFF-733C9ABC02B4",1,5,100,204465,12500,10,0,3,0,0,10.8333333333333,0.989010989010989,3.87096774193548,2.85714285714286,5.71428571428571,1.48760330578512,3.44262295081967,3.96694214876033,8.57142857142857,27.3809523809524,27,0,6,0,0,0,0,16,10,0,0,0,0,0,0,1,0,0,1,50,50,0,0,0,0
"2EE81FD9-39D7-D44F-BFFE-D68CA3AC755C","D301D7FB-40D5-F642-A8BD-47F8237BE522",581,"D301D7FB-40D5-F642-A8BD-47F8237BE522","2EE81FD9-39D7-D44F-BFFE-D68CA3AC755C",1,6,25,257805,9083.333333,1,1,5,0,0,5.90909090909091,4.28571428571429,5.71428571428571,5.45454545454545,3.87096774193548,5.80645161290323,35,1.99170124481328,30,18.5483870967742,6,7,2,0,0,0,0,2,2,0,0,0,0,900,1,1,0,0,0,51,51,0,1,20,1
"2EF41874-1336-8041-BD42-7C09133D04BB","0",61,"2EF41874-1336-8041-BD42-7C09133D04BB",NA,0,4,100,185700,50000,0,1,3,0,0,5.90909090909091,4.28571428571429,5.71428571428571,5.45454545454545,10.9090909090909,2.95081967213115,35,3.96694214876033,16.3636363636364,52.2727272727273,0,2,9,0,0,0,0,1,3,0,0,NA,NA,NA,NA,NA,1,2,2,57,NA,0,1,0,1
"2F3E5C45-7F72-094E-A6BF-BA468AAEC58E","CCF2BC49-75F4-DA41-8436-2358693A0210",559,"CCF2BC49-75F4-DA41-8436-2358693A0210","2F3E5C45-7F72-094E-A6BF-BA468AAEC58E",1,6,100,245600,28000,9,1,6,0,0,21.6666666666667,2.90322580645161,3.87096774193548,5.45454545454545,10.9090909090909,4.39024390243902,2.30769230769231,1.59468438538206,16.3636363636364,52.2727272727273,4,1,0,7,0,1,0,10,2,0,1,0,0,1800,0,1,1,0,0,66,66,0,1,5,1
