"id","spouse_id","couple_id","idwife","idhusband","sex","religion","skilledWork","foodSecurity","foodSourceNow","WEALTH_TOTAL_VAL","No_in_hh","total_income","labor_migrant_hh_total","familyBariEducationAfter","MacArthurLadderPresent","listenRadio","useInternet","marketIntegrationPrimarySchoolTime","marketIntegrationHighSchoolTime","marketIntegrationCollegeTime","marketIntegrationSmallBazaarTime","marketIntegrationLargeBazaarTime","marketIntegrationTownTime","marketIntegrationMainRoadTime","marketIntegrationDhakaTime","marketIntegrationPharmacyTime","marketIntegrationMBBSTime","travel_in_bangladesh","labor_migrant_bari_in_bangladesh","yearOfBirth","ageAtDeath_w","maritalStatus","mainOccupation_w","edulevel_years_of_education_values_0to19__blank_is_dont_know_w","inschool_w","educationmedium_w","husband_occupation_w","husband_years_education_w","husband_in_school_w","husband_ed_medium_w","relocate_MI_h","institutionloan_vs_other_w","foodSourceNow_h","skilledWork_h","MacArthurLadderPresent_h","MacArthurLadderTelephonePresent_h","listenRadio_h","useInternet_h","yearOfBirth_h","mainOccupation_h","travel_in_bangladesh_h","travel_abroad_h","watchTV_mins_per_month_h","bank_vs_micro_h","institutionloan_vs_other_h","total_income_h"
"90FC622F-EFE7-D846-9B11-209229D983B9","FD3E6C8F-06D7-AA45-88CA-5410E57A0DB5",753,"90FC622F-EFE7-D846-9B11-209229D983B9","FD3E6C8F-06D7-AA45-88CA-5410E57A0DB5",0,"ISLAM",0,2,"all from bazar",165195,4,23600,2,"average",4,0,0,2,10,10,5,15,2,3,210,10,30,10,0,1975,0,2,10,8,"No","Bangla",12,8,"No","Bangla",0,1,"all from bazar",1,0,2,3,4,1973,10,11,0,70,0,0,35
"91137A75-31D8-3D4A-8B66-60C5A8156E77","107B6230-1C4C-0D43-ABC9-8389C924D1AD",330,"107B6230-1C4C-0D43-ABC9-8389C924D1AD","91137A75-31D8-3D4A-8B66-60C5A8156E77",1,"ISLAM",0,1,"75 percent from own work",264850,10,63666.66667,5,"more",6,0,2,15,15,15,5,5,25,46,90,5,5,12,3,1956,0,2,18,0,"No","No educaiton",1,0,"0","0",0,1,"75 percent from own work",0,5,0,0,2,1956,2,8,0,900,0,0,70500
"9117DE62-5EDD-0846-878A-1343D29E5D58","0",331,"9117DE62-5EDD-0846-878A-1343D29E5D58",NA,0,"ISLAM",0,1,"75 percent from own work",273925,14,47333.33333,6,"average",5,0,0,7,25,25,10,30,30,120,240,10,30,15,1,1948,0,4,18,0,"No","No educaiton",10,10,"No","Bangla",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9137203F-F909-484B-B86F-46EC2A4F8794","3F1F3AAB-E3F1-DF44-B270-EE462E41A31E",332,"9137203F-F909-484B-B86F-46EC2A4F8794","3F1F3AAB-E3F1-DF44-B270-EE462E41A31E",0,"ISLAM",0,1,"all from bazar",60545,7,16140,1,"less",3,0,0,15,30,30,30,30,60,30,210,30,30,3,6,1987,0,2,18,5,"No","Bangla",9,0,"No","No educaiton",1,1,"all from bazar",0,3,0,0,0,1968,9,10,0,300,0,1,9000
"913E131F-C2BE-194F-BEA7-151CC73634DE","283B5033-EC66-2B4A-8615-8E9A30655F95",333,"283B5033-EC66-2B4A-8615-8E9A30655F95","913E131F-C2BE-194F-BEA7-151CC73634DE",1,"ISLAM",0,1,"25 percent from own work",155135,9,54250,15,"less",5,0,0,7,40,40,5,15,30,40,210,5,15,19,12,1958,0,2,18,2,"No","Bangla",2,0,"No","No educaiton",0,0,"75 percent from own work",0,2,0,0,0,1958,2,6,0,3600,0,1,29000
"9145E251-3F45-2E4B-A3A0-236ECB28162E","3EC53681-AF22-2147-BF79-2DCE941F0A6F",334,"3EC53681-AF22-2147-BF79-2DCE941F0A6F","9145E251-3F45-2E4B-A3A0-236ECB28162E",1,"ISLAM",1,1,"75 percent from own work",189255,8,6583.333333,1,"more",4,0,0,10,30,30,10,10,15,10,120,10,10,16,8,1977,0,2,18,9,"No","Bangla",2,5,"No","Bangla",0,0,"75 percent from own work",0,4,0,0,0,1977,1,6,1,900,0,0,40500
"91B2BABA-9E78-2741-BBE8-C7A28E3969B5","57F2720A-D520-544B-8DC7-F770D4C1F25A",335,"57F2720A-D520-544B-8DC7-F770D4C1F25A","91B2BABA-9E78-2741-BBE8-C7A28E3969B5",1,"ISLAM",1,2,"all from bazar",81395,7,12300,1,"average",2,0,0,5,45,45,5,45,45,30,240,5,45,4,0,1971,0,2,18,2,"No","Bangla",0,1,"No","Don't know",0,0,"all from bazar",0,1,0,0,0,1971,4,7,0,900,0,0,7000
"91D2A274-E6DB-484A-8EB7-98E510F3A541","0",336,"91D2A274-E6DB-484A-8EB7-98E510F3A541",NA,0,"ISLAM",0,1,"all from bazar",186300,6,27150,2,"more",4,0,1,10,30,30,15,30,90,90,240,10,30,12,1,1988,0,2,18,8,"No","Bangla",10,12,"No","Bangla",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"925D7231-5EF7-2E47-A7CA-ADD32D79E71B","81DAD612-DD4D-0E49-83DB-D0A6BB15919C",337,"925D7231-5EF7-2E47-A7CA-ADD32D79E71B","81DAD612-DD4D-0E49-83DB-D0A6BB15919C",0,"ISLAM",1,2,"25 percent from own work",127675,6,5683.333333,3,"less",4,0,0,5,20,20,5,5,40,5,150,5,5,5,7,1973,0,2,18,0,"No","No educaiton",2,0,"0","0",0,0,"75 percent from own work",0,4,0,0,0,1963,2,6,0,900,0,0,16500
"9292B045-934D-2148-AF3D-A39CBC79EEE5","FA62D13C-40FB-A447-B511-3DE031BB24EA",733,"FA62D13C-40FB-A447-B511-3DE031BB24EA","9292B045-934D-2148-AF3D-A39CBC79EEE5",1,"ISLAM",0,3,"all from bazar",96900,6,17000,0,"less",6,0,0,10,40,40,10,10,60,30,240,15,15,0,0,1963,0,2,18,0,"No","No educaiton",2,0,"No","No educaiton",0,0,"all from bazar",0,3,0,0,0,1963,4,2,0,900,0,1,10000
