"idwife","couple_id","idhusband","sex","age_wife","age_h","MI_geo_proximity","MI_economic_capital","MI_human_capital","NW_total","non_rels","parents_kids","pat_rels","mat_rels","in_laws","far_rels","geo_distance_non_rels","geo_distance_rels","rels_in_NW","rels_in_NW_h","percent_rels_in_NW","percent_rels_in_NW_h","rels_econ_help","rels_econ_help_h","non_rels_econ_help","non_rels_econ_help_h","percent_rels_econ_help","percent_rels_econ_help_h","emot_support_rels","emot_support_rels_h","emot_support_non_rels","emot_support_non_rels_h","percent_rels_emot_support","percent_rels_emot_support_h","childcare_help_rels","childcare_help_non_rels","childcare_help_rels_percent","overall_help_rels","overall_help_rels_h","overall_help_non_rels","overall_help_non_rels_h","percent_overall_help_rels","percent_overall_help_rels_h","religion","religious_knowledge_scale","hh_total","kids_in_hh","familyBariReligiousBefore","familyBariReligiousAfter","religious_change","R_NUM_SIBS","SIBS_DUMMY"
"26105CF8-0B76-CD4C-B3AE-34380627A18A",44,"0B2AA520-A9BA-834F-9442-E73AC0140C78",1,62,62,-0.374408626652982,-0.132466121651991,-0.640293183652343,9,0,4,0,0,4,0,NA,1.5,9,6,0.888888888888889,1,0.001,3,0.001,0,0.5,1,7.001,1,0.001,1,0.999857183661811,0.5,2.001,0.001,0.9995004995005,12.004,10,0.004,2,0.99966688874084,0.833333333333333,1,-2.62696335078534,-0.634816753926701,-0.909685863874345,0,1,1,4,1
"628FA373-27BF-E942-B886-DD6ED5C71635",195,"0B5F239B-E7E3-E24C-A2AC-7CE72CCA4537",1,54,54,0.0545943183876825,1.56079567217524,0.411598729902567,10,3,5,0,0,1,1,2,2.57142857142857,7,9,1,1,0.001,0,3.001,4,0.00033311125916056,0,4.001,9,5.001,6,0.444456787380582,0.6,0.001,3.001,0.00033311125916056,8.004,14,11.004,16,0.421085858585859,0.466666666666667,0,0.37303664921466,-0.634816753926701,1.09031413612565,1,0,-1,5,1
"0BC68E77-B5B5-9849-9D16-EE9778C77915",12,NA,0,52,NA,-0.108382775780802,0.94063964825425,-0.533690763112956,10,0,5,0,0,2,1,NA,2.375,10,NA,0.8,NA,6.001,NA,0.001,NA,0.999833388870377,NA,10.001,NA,0.001,NA,0.999900019996001,NA,4.001,0.001,0.999750124937531,21.004,NA,0.004,NA,0.99980959634425,NA,0,5.37303664921466,0.365183246073299,0.0903141361256545,1,1,0,6,1
"0C13009C-8F36-2143-9C73-C67CB5EF153C",99,"3CD3BD61-6B62-2148-ACDB-C0D6132195EF",0,53,56,-0.342529165075795,-0.711381904000775,0.328446389049381,6,1,2,0,0,0,0,2,1.5,5,12,0.4,1,1.001,2,0.001,3,0.999001996007984,0.4,2.001,19,0.001,0,0.9995004995005,1,2.001,0.001,0.9995004995005,6.004,34,0.004,11,0.999334221038615,0.755555555555556,0,-0.12696335078534,-2.6348167539267,-0.909685863874345,0,-1,-1,6,1
"B4464795-1D18-2D46-BA11-5CBF40BA39C1",450,"0C1FDF0A-09D5-F740-98F1-E57A9460E10B",1,59,59,0.231149173102605,1.10379056511342,0.977133930701357,11,0,3,0,3,3,0,NA,2.22222222222222,11,7,0.818181818181818,1,3.001,5,0.001,2,0.99966688874084,0.714285714285714,7.001,2,0.001,9,0.999857183661811,0.181818181818182,2.001,0.001,0.9995004995005,14.004,14,0.004,21,0.999714448886351,0.4,0,3.37303664921466,-1.6348167539267,0.0903141361256545,1,1,0,5,1
"0C2C4CE0-F13F-8A4A-B9DD-C8FFC2E6B968",13,NA,0,60,NA,0.211618151298973,-0.114076041308597,-0.498813240135914,11,2,6,0,0,0,1,2,2.42857142857143,9,NA,0.777777777777778,NA,6.001,NA,0.001,NA,0.999833388870377,NA,8.001,NA,0.001,NA,0.99987503124219,NA,5.001,0.001,0.999800079968013,22.004,NA,0.004,NA,0.999818247909851,NA,0,-0.62696335078534,2.3651832460733,-0.909685863874345,1,1,0,3,1
"2B9585E7-700A-EF4F-A946-08D7B1F7394E",55,"0C48694C-7257-DA4B-A4F2-9F666F2A62FD",1,68,68,-0.100389379719339,1.56668983292396,-0.913129017253309,11,1,2,0,0,3,2,3,1.71428571428571,10,7,0.7,1,4.001,5,0.001,0,0.999750124937531,1,3.001,9,0.001,0,0.99966688874084,1,1.001,0.001,0.999001996007984,10.004,23,0.004,0,0.999600319744205,1,0,-2.12696335078534,1.3651832460733,0.0903141361256545,1,-1,-2,1,1
"0C662831-52DD-1041-96F2-CDBE6A6201E0",14,NA,0,62,NA,-0.235616067089684,-0.499065174732247,-1.08268881930349,4,0,3,0,0,1,0,NA,1.25,4,NA,1,NA,2.001,NA,0.001,NA,0.9995004995005,NA,6.001,NA,0.001,NA,0.999833388870377,NA,2.001,0.001,0.9995004995005,13.004,NA,0.004,NA,0.999692496924969,NA,0,-2.62696335078534,2.3651832460733,2.09031413612565,-1,0,1,3,1
"0D0EFB1D-95F7-F24F-AAF6-A9B971C687BB",94,"3B8E3412-0E4D-BA41-A511-2E8BCC916E48",0,46,48,0.20508316424839,0.764116093292361,1.23780686343041,12,0,1,0,0,11,0,NA,2.08333333333333,12,5,1,1,4.001,2,0.001,1,0.999750124937531,0.666666666666667,9.001,2,0.001,4,0.999888913574761,0.333333333333333,2.001,0.001,0.9995004995005,20.004,7,0.004,17,0.999800079968013,0.291666666666667,0,-0.12696335078534,-1.6348167539267,-0.909685863874345,1,1,0,3,1
"EBF3D11A-5C77-224E-AB5F-B57125545658",673,"0D1D2C97-CA91-294C-906B-78EB57154BCE",1,50,50,0.256782485686223,0.620604525091815,-0.583266773343049,9,0,4,0,0,3,0,NA,1.42857142857143,9,7,0.777777777777778,1,3.001,3,0.001,0,0.99966688874084,1,6.001,6,0.001,0,0.999833388870377,1,3.001,0.001,0.99966688874084,14.004,18,0.004,0,0.999714448886351,1,0,-2.62696335078534,0.365183246073299,-0.909685863874345,0,0,0,8,1
